TradeNumber,Instrument,Direction,Quantity,EntryTime,EntryPrice,EntryName,ExitTime,ExitPrice,ExitName,ProfitPoints,ProfitTicks,ProfitCurrency,Commission,CumProfitCurrency,MaePoints,MfePoints
0,NQ,Long,1,2024-03-14 06:20:00,20111.25,VAB,2024-03-14 06:27:00,20101.25,Stop loss,-10,-40,-200,0,-200,10,3
1,NQ,Long,1,2024-03-25 10:02:00,20219.5,VAB,2024-03-25 10:50:00,20242.5,Profit target,23,92,460,0,260,11,26
2,NQ,Long,1,2024-03-26 19:49:00,20185,VAB,2024-03-26 20:23:00,20179.75,Stop loss,-5.25,-21,-105,0,155,5.75,4.75
3,NQ,Short,1,2024-03-27 12:02:00,20126.5,VAB,2024-03-27 12:12:00,20103,Profit target,23.5,94,470,0,625,14.25,24.75
4,NQ,Short,1,2024-04-02 13:40:00,19969,VAB,2024-04-02 13:43:00,19983,Stop loss,-14,-56,-280,0,345,17.75,0.5
5,NQ,Long,1,2024-04-23 15:06:00,19334,VAB,2024-04-23 15:30:00,19345.25,Profit target,11.25,45,225,0,570,24.75,13.25
6,NQ,Long,1,2024-04-24 02:55:00,19424,VAB,2024-04-24 03:05:00,19421.5,Sell,-2.5,-10,-50,0,520,6.25,1.5
7,NQ,Short,1,2024-04-24 17:02:00,19153,VAB,2024-04-24 17:02:00,19153,Profit target,0,0,0,0,520,0,0
8,NQ,Long,1,2024-04-26 11:00:00,19546.75,VAB,2024-04-28 17:10:00,19550.75,Sell,4,16,80,0,600,26.25,48.5
9,NQ,Short,1,2024-05-05 21:37:00,19699.75,VAB,2024-05-05 22:33:00,19692.75,Profit target,7,28,140,0,740,2.75,7.5
10,NQ,Long,1,2024-05-06 09:54:00,19797,VAB,2024-05-06 10:03:00,19780.25,Stop loss,-16.75,-67,-335,0,405,19.25,2.75
11,NQ,Long,1,2024-05-08 11:29:00,19878.75,VAB,2024-05-08 11:37:00,19854.5,Stop loss,-24.25,-97,-485,0,-80,30,1.75
12,NQ,Long,1,2024-05-08 12:55:00,19866.25,VAB,2024-05-08 17:10:00,19852.5,Sell,-13.75,-55,-275,0,-355,19.25,29
13,NQ,Long,1,2024-05-15 04:45:00,20111.5,VAB,2024-05-15 05:05:00,20103.5,Stop loss,-8,-32,-160,0,-515,8.5,3.5
14,NQ,Long,1,2024-05-24 15:26:00,20564.5,VAB,2024-05-26 17:10:00,20573.25,Sell,8.75,35,175,0,-340,4.25,12.25
15,NQ,Short,1,2024-05-28 20:37:00,20601.75,VAB,2024-05-28 20:50:00,20604.75,Stop loss,-3,-12,-60,0,-400,4,5.5
16,NQ,Short,1,2024-05-30 01:35:00,20362,VAB,2024-05-30 01:50:00,20355,Profit target,7,28,140,0,-260,4.75,7.5
17,NQ,Long,1,2024-06-05 14:40:00,20745.25,VAB,2024-06-05 14:46:00,20733.25,Stop loss,-12,-48,-240,0,-500,15,3.5
18,NQ,Long,1,2024-06-25 14:18:00,21383.75,VAB,2024-06-25 14:30:00,21408.5,Profit target,24.75,99,495,0,-5,2.75,30.5
19,NQ,Long,1,2024-06-27 12:37:00,21486.5,VAB,2024-06-27 13:01:00,21467.75,Stop loss,-18.75,-75,-375,0,-380,19.5,12.5
20,NQ,Long,1,2024-07-03 09:44:00,21722.75,VAB,2024-07-03 10:17:00,21777.75,Profit target,55,220,1100,0,720,0.75,55.5
21,NQ,Long,1,2024-07-10 13:46:00,22306.75,VAB,2024-07-10 14:06:00,22295.5,Stop loss,-11.25,-45,-225,0,495,11.75,21.5
22,NQ,Short,1,2024-07-11 23:28:00,21849.5,VAB,2024-07-11 23:52:00,21839.25,Profit target,10.25,41,205,0,700,1.25,10.75
23,NQ,Long,1,2024-07-15 04:41:00,22060.5,VAB,2024-07-15 05:01:00,22057.5,Stop loss,-3,-12,-60,0,640,4.5,4.25
24,NQ,Long,1,2024-07-16 06:37:00,22067.75,VAB,2024-07-16 06:40:00,22054.5,Stop loss,-13.25,-53,-265,0,375,13.75,0.25
25,NQ,Long,1,2024-07-16 07:03:00,22066.5,VAB,2024-07-16 07:45:00,22084.25,Profit target,17.75,71,355,0,730,58.5,18.75
26,NQ,Short,1,2024-07-17 05:24:00,21770.5,VAB,2024-07-17 05:28:00,21784.75,Stop loss,-14.25,-57,-285,0,445,15.25,2.25
27,NQ,Short,1,2024-07-17 05:54:00,21768.5,VAB,2024-07-17 05:58:00,21754.25,Profit target,14.25,57,285,0,730,1.5,14.25
28,NQ,Long,1,2024-07-26 05:35:00,20629.25,VAB,2024-07-26 05:44:00,20617.25,Stop loss,-12,-48,-240,0,490,14,0
29,NQ,Long,1,2024-07-29 06:09:00,20724.25,VAB,2024-07-29 06:18:00,20713.75,Stop loss,-10.5,-42,-210,0,280,13.25,5.75
30,NQ,Long,1,2024-07-30 23:00:00,20552.5,VAB,2024-07-30 23:01:00,20568.25,Profit target,15.75,63,315,0,595,2.5,20.25
31,NQ,Long,1,2024-07-31 15:31:00,21006.75,VAB,2024-07-31 17:10:00,21061,Sell,54.25,217,1085,0,1680,2.5,55.75
32,NQ,Short,1,2024-08-04 21:13:00,19535,VAB,2024-08-04 21:20:00,19559.75,Stop loss,-24.75,-99,-495,0,1185,30.5,2
33,NQ,Short,1,2024-08-04 21:45:00,19535.5,VAB,2024-08-04 22:34:00,19499.75,Profit target,35.75,143,715,0,1900,36.5,39.25
34,NQ,Long,1,2024-08-05 23:26:00,19829.25,VAB,2024-08-05 23:35:00,19793.25,Stop loss,-36,-144,-720,0,1180,40.25,7.5
35,NQ,Long,1,2024-08-06 02:34:00,19712.75,VAB,2024-08-06 02:43:00,19669.75,Stop loss,-43,-172,-860,0,320,58.75,10.75
36,NQ,Long,1,2024-08-06 21:22:00,19734,VAB,2024-08-06 21:27:00,19777.75,Profit target,43.75,175,875,0,1195,8.75,47.75
37,NQ,Long,1,2024-08-08 06:13:00,19418,VAB,2024-08-08 06:33:00,19400,Stop loss,-18,-72,-360,0,835,20.25,22
38,NQ,Long,1,2024-08-11 23:27:00,20070,VAB,2024-08-12 01:11:00,20057.5,Stop loss,-12.5,-50,-250,0,585,16,21.75
39,NQ,Long,1,2024-08-13 01:39:00,20137.5,VAB,2024-08-13 01:49:00,20162,Profit target,24.5,98,490,0,1075,0,27.25
40,NQ,Long,1,2024-08-13 19:07:00,20555.5,VAB,2024-08-13 19:10:00,20545.75,Stop loss,-9.75,-39,-195,0,880,11,0.75
